Carga;Bodega;Fecha;Tipo;Tran_nbr;Tienda;Guias;Detalles;Cant_Wms;Procesado_jda;Encontrados
609099;200;2017-12-05 11:25:15.0;CTL;727741;21;0;35;99.000;SI;
634355;012;2017-12-05 11:27:39.0;CTL;727742;60;0;562;929.000;SI;
634975;012;2017-12-05 11:27:02.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634985;200;2017-12-05 11:27:46.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634969;012;2017-12-05 11:29:09.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634977;012;2017-12-05 11:29:45.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634998;200;2017-12-05 11:30:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634994;200;2017-12-05 11:30:23.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634933;012;2017-12-05 11:36:23.0;CTL;727750;200;0;796;4047.000;SI;
634989;200;2017-12-05 11:36:21.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635000;012;2017-12-05 11:38:03.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634581;400;2017-12-05 11:39:13.0;CTL;727753;427;0;317;1727.000;SI;
634973;200;2017-12-05 11:40:40.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634980;200;2017-12-05 11:42:34.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634534;400;2017-12-05 11:48:35.0;CTL;727758;464;0;607;2313.000;SI;
634984;012;2017-12-05 11:48:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634982;200;2017-12-05 11:53:44.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634976;200;2017-12-05 11:56:26.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635004;200;2017-12-05 11:56:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634986;200;2017-12-05 11:57:26.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634517;012;2017-12-05 12:01:09.0;CTL;727781;10;0;1379;7717.000;SI;
635002;012;2017-12-05 11:58:02.0;CTL;-;-;-;-;-;-;No encontrado en JDA
633128;400;2017-12-05 12:00:50.0;CTL;727783;459;0;883;5960.000;SI;
635007;012;2017-12-05 12:03:14.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635008;200;2017-12-05 12:04:20.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634996;200;2017-12-05 12:05:47.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634592;012;2017-12-05 12:08:10.0;CTL;727788;17;0;971;4126.000;SI;
634995;200;2017-12-05 12:07:03.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635015;200;2017-12-05 12:10:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635014;012;2017-12-05 12:13:20.0;CTL;-;-;-;-;-;-;No encontrado en JDA
631466;400;2017-12-05 12:13:48.0;CTL;727793;418;0;194;651.000;SI;
633619;200;2017-12-05 12:17:22.0;CTL;727794;50;0;159;167.000;SI;
635013;200;2017-12-05 12:17:51.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634414;012;2017-12-05 12:21:57.0;CTL;727796;109;0;1427;5298.000;M0;
634917;012;2017-12-05 12:26:35.0;CTL;727798;37;0;1394;7029.000;M0;
634983;012;2017-12-05 12:24:35.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634993;200;2017-12-05 12:28:55.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634997;200;2017-12-05 12:29:09.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635020;012;2017-12-05 12:32:46.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634755;200;2017-12-05 12:34:28.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634936;012;2017-12-05 12:34:36.0;CTL;727804;118;0;30;219.000;SI;
635024;012;2017-12-05 12:43:23.0;CTL;-;-;-;-;-;-;No encontrado en JDA
633246;400;2017-12-05 12:45:50.0;CTL;727806;414;0;625;3699.000;SI;
634735;012;2017-12-05 12:46:18.0;CTL;727807;16;0;354;354.000;SI;
634720;012;2017-12-05 12:53:05.0;CTL;727818;20;0;973;5128.000;SI;
634346;012;2017-12-05 13:08:27.0;CTL;727827;40;0;1911;9435.000;M0;
635021;012;2017-12-05 13:04:23.0;CTL;727828;37;0;145;145.000;SI;
635029;012;2017-12-05 13:04:17.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635033;012;2017-12-05 13:04:54.0;CTL;-;-;-;-;-;-;No encontrado en JDA
616242;200;2017-12-05 13:09:50.0;CTL;727832;10;0;57;121.000;SI;
635023;012;2017-12-05 13:10:30.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635032;200;2017-12-05 13:16:42.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635022;012;2017-12-05 13:20:27.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634978;200;2017-12-05 13:24:19.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634508;012;2017-12-05 13:35:02.0;CTL;727838;89;0;1550;8141.000;SI;
635018;012;2017-12-05 13:33:03.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635035;200;2017-12-05 13:39:42.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635009;012;2017-12-05 13:42:39.0;CTL;727842;10;0;316;316.000;SI;
635034;200;2017-12-05 13:45:04.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634671;400;2017-12-05 13:47:23.0;CTL;727844;406;0;601;7733.000;SI;
634638;012;2017-12-05 13:49:04.0;CTL;727848;44;0;387;876.000;SI;
635049;200;2017-12-05 13:48:59.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634394;012;2017-12-05 13:49:51.0;CTL;727853;89;0;332;1713.000;SI;
635038;200;2017-12-05 13:53:25.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635036;200;2017-12-05 13:53:24.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635048;200;2017-12-05 14:01:59.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635017;200;2017-12-05 14:02:55.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635044;200;2017-12-05 14:03:47.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634732;012;2017-12-05 14:06:18.0;CTL;727862;106;0;705;3727.000;SI;
634476;012;2017-12-05 14:05:58.0;CTL;727863;46;0;36;36.000;SI;
635043;200;2017-12-05 14:08:40.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635069;012;2017-12-05 14:12:52.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635039;200;2017-12-05 14:16:05.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635026;200;2017-12-05 14:23:14.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635052;012;2017-12-05 14:23:34.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635041;200;2017-12-05 14:23:29.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634950;400;2017-12-05 14:27:59.0;CTL;727872;429;0;689;7904.000;SI;
633650;400;2017-12-05 14:34:08.0;CTL;727873;479;0;743;2939.000;SI;
634927;200;2017-12-05 14:33:13.0;CTL;727874;215;0;2;2.000;SI;
635050;200;2017-12-05 14:42:06.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634979;200;2017-12-05 14:52:07.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634658;400;2017-12-05 15:04:06.0;CTL;727878;432;0;406;2795.000;SI;
634704;012;2017-12-05 15:18:29.0;CTL;727880;21;0;376;1582.000;M0;
635081;200;2017-12-05 15:25:05.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635070;012;2017-12-05 15:26:45.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634598;400;2017-12-05 15:27:37.0;CTL;727884;410;0;443;5459.000;SI;
634198;012;2017-12-05 15:32:25.0;CTL;727885;10;0;832;3681.000;SI;
634431;012;2017-12-05 15:31:23.0;CTL;727886;50;0;17;17.000;SI;
633289;400;2017-12-05 15:36:19.0;CTL;727887;423;0;1384;10679.000;M0;
635051;200;2017-12-05 15:34:25.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635079;200;2017-12-05 15:35:24.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635085;200;2017-12-05 15:35:42.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635053;200;2017-12-05 15:37:00.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635082;012;2017-12-05 15:38:55.0;CTL;-;-;-;-;-;-;No encontrado en JDA
624490;200;2017-12-05 15:39:59.0;CTL;727894;12;0;94;581.000;SI;
635089;012;2017-12-05 15:42:08.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635087;200;2017-12-05 15:44:32.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635084;200;2017-12-05 15:44:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635088;200;2017-12-05 15:45:39.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634452;400;2017-12-05 15:48:58.0;CTL;727899;413;0;607;5230.000;SI;
634435;400;2017-12-05 15:47:57.0;CTL;727900;491;0;8;8.000;M0;
635083;200;2017-12-05 15:52:01.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634654;400;2017-12-05 15:56:16.0;CTL;727904;430;0;1392;15907.000;SI;
635096;200;2017-12-05 15:54:30.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634692;012;2017-12-05 15:55:54.0;CTL;727906;13;0;548;2498.000;SI;
627297;012;2017-12-05 15:54:56.0;CTL;727907;400;0;1;1.000;SI;
634223;012;2017-12-05 15:56:00.0;CTL;727908;50;0;5;5.000;SI;
635078;200;2017-12-05 15:58:28.0;CTL;-;-;-;-;-;-;No encontrado en JDA
